,484af471c61943fa90e5f78e78a229f0,0cd2023eeaf745aca0d3e8ad5e1fc653,fe81d71c52404ed790b3a32051258da9,ff67be0b68e540a9a29a36a2d0c7a5be,19e3e786e1bc4e2b93856f5dc9de8216,347669d050f344ad9fb9e480c814f727,c1204e3a8a1e4c40a35b5b7b1922d1ce,714af8cd12c1441eac4ca980e8c20070,34a6d207ac594035b1009c330fb67a65
val_auc,0.981,0.976,0.984,0.987,0.9744999999999999,0.978,0.976,0.962,0.972
val_recall0.5,0.8975,0.893,0.916,0.929,0.885,0.8905000000000001,0.875,0.856,0.872
val_precision0.5,0.918,0.852,0.909,0.9065000000000001,0.8985000000000001,0.891,0.888,0.8585,0.9135
hp_batch_size,26,15,20,28,20,10,14,17,9
hp_first_filters,44,23,78,6,128,16,16,16,64
hp_input_size,16384,16384,16384,16384,16384,8192,16384,16384,4096
hp_lr_power,1,7,4,1,1,1,5,5,1
hp_lr_start,0.0136170138242663,0.0305060808685107,0.0584071108418767,0.0553313915596308,0.043549707353273,0.0627676336651573,0.0192390310290551,0.0101590069352232,0.0100697459464075
hp_n_levels,7,6,4,5,3,5,9,3,5
hp_pool_size,2,4,4,4,4,4,2,4,4
hp_scaler,standard,quant_g,standard,minmax,standard,robust,robust,l2,maxabs
test loss,0.2287006825208664,0.2911677956581116,0.20754298567771912,0.1929030567407608,0.3937699496746063,0.28928321599960327,0.2641412019729614,0.18673957884311676,0.3184867203235626
test tp0.1,7120162.0,7030956.0,7195616.0,7216054.0,6702946.0,6968717.0,7094671.0,7191122.0,6898118.0
test fp0.1,1418863.0,1944947.0,1635920.0,1445349.0,1573303.0,1346502.0,1783490.0,1089514.0,1865476.0
test tn0.1,40176900.0,39650840.0,39959820.0,40150456.0,40022456.0,40249248.0,39812172.0,40506272.0,39730280.0
test fn0.1,436071.0,525277.0,360617.0,340179.0,853287.0,587516.0,461562.0,365111.0,658115.0
test precision0.1,0.8338378071784973,0.78331458568573,0.8147638440132141,0.8331276178359985,0.8099014163017273,0.8380677700042725,0.7991149425506592,0.8684262633323669,0.7871334552764893
test recall0.1,0.9422898888587952,0.9304842948913574,0.9522755742073059,0.9549803733825684,0.8870750665664673,0.9222475290298462,0.9389163851737976,0.9516808390617371,0.9129043817520142
test tp0.3,6967838.0,6780626.0,7057588.0,7068737.0,6536047.0,6749402.0,6893942.0,7062843.0,6565790.0
test fp0.3,864351.0,1063352.0,1032334.0,874006.0,1023316.0,704964.0,923800.0,687977.0,850301.0
test tn0.3,40731400.0,40532408.0,40563420.0,40721760.0,40572400.0,40890776.0,40671944.0,40907784.0,40745504.0
test fn0.3,588395.0,775607.0,498645.0,487496.0,1020186.0,806831.0,662291.0,493390.0,990443.0
test precision0.3,0.8896412253379822,0.8644371628761292,0.8723925948143005,0.8899617195129395,0.864629328250885,0.9054293632507324,0.8818328976631165,0.9112381935119629,0.8853437900543213
test recall0.3,0.9221311807632446,0.897355318069458,0.934008777141571,0.9354842305183411,0.8649874925613403,0.8932231068611145,0.912351667881012,0.9347042441368103,0.8689237236976624
test tp0.5,6806719.0,6547596.0,6873409.0,6879515.0,6381884.0,6514890.0,6657803.0,6907934.0,6236955.0
test fp0.5,561522.0,671113.0,627857.0,517256.0,718562.0,394738.0,506659.0,432424.0,431128.0
test tn0.5,41034252.0,40924664.0,40967908.0,41078488.0,40877184.0,41201060.0,41089052.0,41163320.0,41164680.0
test fn0.5,749514.0,1008637.0,682824.0,676718.0,1174349.0,1041343.0,898430.0,648299.0,1319278.0
